,f1_micro_mean_test,f1_micro_mean_train,f1_micro_std_train,max_feature,min_samples_leaf,min_samples_split,n_estimators,time
0,0.546923076923077,0.6424877234009028,0.00786007253413092,2.0,2.0,2.0,100.0,-10.003660000000025
1,0.5507692307692308,0.6542179907073673,0.007512990583471066,2.0,2.0,2.0,600.0,-61.44866200000001
2,0.553076923076923,0.6480633966522993,0.0062999364894428846,2.0,2.0,2.0,800.0,-77.55086299999999
3,0.55,0.6509509020801146,0.006677350318579168,2.0,2.0,2.0,900.0,-95.55118600000003
4,0.5376923076923077,0.6363304671339362,0.004946664481038727,6.0,2.0,2.0,100.0,-22.160523000000012
5,0.54,0.6394055450103667,0.0032463785941197923,6.0,2.0,2.0,600.0,-140.21593399999995
6,0.5392307692307692,0.6392098679474932,0.005672255406854841,6.0,2.0,2.0,800.0,-185.672689
7,0.5415384615384615,0.636711828347245,0.0023549874000310103,6.0,2.0,2.0,900.0,-190.06302899999991
8,0.5007692307692307,0.6311337153761293,0.0004494656593156938,10.0,2.0,2.0,100.0,-31.11815200000001
9,0.53,0.6322910036383691,0.0033868710406920782,10.0,2.0,2.0,600.0,-191.65707900000007
10,0.5215384615384615,0.6370962967568117,0.002115933598287312,10.0,2.0,2.0,800.0,-252.82739700000002
11,0.5330769230769231,0.6353626357713642,0.005110189356479682,10.0,2.0,2.0,900.0,-301.31219899999996
12,0.4969230769230769,0.6072709418327347,0.008799410224498429,13.0,2.0,2.0,100.0,-34.12886500000013
13,0.5169230769230769,0.6247876696860329,0.006080158485473114,13.0,2.0,2.0,600.0,-235.48885000000018
14,0.5261538461538462,0.6257540481169667,0.009192700916610463,13.0,2.0,2.0,800.0,-321.983698
15,0.5161538461538462,0.6342087932525597,0.0031310949806149847,13.0,2.0,2.0,900.0,-373.78036900000006
16,0.5676923076923077,0.635949444467805,0.005051393858445727,2.0,4.0,2.0,100.0,-6.68330799999967
17,0.5615384615384615,0.6519127415423509,0.0030184239909863773,2.0,4.0,2.0,600.0,-48.35040799999979
18,0.5553846153846154,0.6490298969089219,0.005313162735288731,2.0,4.0,2.0,800.0,-61.452580000000125
19,0.5615384615384615,0.6488365531285869,0.004578990808074346,2.0,4.0,2.0,900.0,-75.19922799999995
20,0.54,0.6394099948539546,0.0062028624187050714,6.0,4.0,2.0,100.0,-16.71510699999999
21,0.5438461538461539,0.6451841118937408,0.0038293778565816157,6.0,4.0,2.0,600.0,-105.97817699999996
22,0.5453846153846154,0.6432561087984962,0.0024012409332906924,6.0,4.0,2.0,800.0,-137.58826299999964
23,0.5384615384615384,0.6497972820534896,0.0009066021945106819,6.0,4.0,2.0,900.0,-162.5024840000001
24,0.5269230769230769,0.6303630063138151,0.0031859377571678434,10.0,4.0,2.0,100.0,-27.240665999999692
25,0.5253846153846153,0.6357504357929312,0.003030858351341032,10.0,4.0,2.0,600.0,-143.21611699999994
26,0.5323076923076923,0.6365218123317836,0.005121453722596715,10.0,4.0,2.0,800.0,-223.54117599999972
27,0.5376923076923077,0.6401765887727318,0.00466572902880495,10.0,4.0,2.0,900.0,-235.42914199999996
28,0.5092307692307693,0.6192047798655324,0.004588415964228775,13.0,4.0,2.0,100.0,-35.35451900000044
29,0.536923076923077,0.6319156420196498,0.010738941372148371,13.0,4.0,2.0,600.0,-199.49791499999992
30,0.5261538461538462,0.6334455194044021,0.002655156188738817,13.0,4.0,2.0,800.0,-278.2294549999997
31,0.5246153846153846,0.6355626446992636,0.0035694368959718627,13.0,4.0,2.0,900.0,-316.65726799999993
32,0.5592307692307692,0.633825874593995,0.004470946025128887,2.0,6.0,2.0,100.0,-6.444479000000683
33,0.5553846153846154,0.6521027537106855,0.005010055518278385,2.0,6.0,2.0,600.0,-38.66223599999921
34,0.5538461538461539,0.6469077741960597,0.005101333872296096,2.0,6.0,2.0,800.0,-49.35692800000015
35,0.5461538461538461,0.6476790366034773,0.009559327131606506,2.0,6.0,2.0,900.0,-56.12689899999987
36,0.5438461538461539,0.6386404969954643,0.0029404552620050464,6.0,6.0,2.0,100.0,-13.937175000000025
37,0.5323076923076923,0.6447945357818655,0.0018417955314378091,6.0,6.0,2.0,600.0,-90.61801799999921
38,0.5392307692307692,0.6428680882083132,0.0029272958115161836,6.0,6.0,2.0,800.0,-117.60065699999996
39,0.5461538461538461,0.6428710870438265,0.0010411363598998606,6.0,6.0,2.0,900.0,-127.07573700000012
40,0.5207692307692308,0.6328674904930117,0.005971905670970758,10.0,6.0,2.0,100.0,-20.36644299999989
41,0.5169230769230769,0.6411435359372767,0.0038623746432220655,10.0,6.0,2.0,600.0,-131.40591399999994
42,0.5184615384615384,0.6386437144760299,0.006929588826755275,10.0,6.0,2.0,800.0,-170.17226500000015
43,0.5230769230769231,0.6378750039962032,0.006080934332545823,10.0,6.0,2.0,900.0,-180.22232299999996
44,0.5107692307692308,0.6084252428008423,0.0026167842023635817,13.0,6.0,2.0,100.0,-23.655961999999818
45,0.5046153846153846,0.6244035340529538,0.005681393344310541,13.0,6.0,2.0,600.0,-168.59217400000034
46,0.5176923076923077,0.6305592347982283,0.0026517343047036948,13.0,6.0,2.0,800.0,-229.44435599999997
47,0.5292307692307693,0.6288261310050111,0.0016368017495049306,13.0,6.0,2.0,900.0,-237.6920540000001
48,0.5692307692307692,0.6430652085850076,0.0019647899889044034,2.0,2.0,6.0,100.0,-9.14507500000036
49,0.5507692307692308,0.6499875128668765,0.005826474879773742,2.0,2.0,6.0,600.0,-52.426244000000224
50,0.5538461538461539,0.6511423594858335,0.006067925006349537,2.0,2.0,6.0,800.0,-77.23246999999992
51,0.55,0.6505644350880605,0.007481838262262854,2.0,2.0,6.0,900.0,-82.64713999999913
52,0.5292307692307693,0.6367078311822699,0.004989138474620137,6.0,2.0,6.0,100.0,-20.439275999999154
53,0.5361538461538462,0.6397956763909086,0.0038506090381220082,6.0,2.0,6.0,600.0,-123.53057799999988
54,0.5392307692307692,0.6422954920814649,0.005215758071163875,6.0,2.0,6.0,800.0,-167.3978700000007
55,0.5392307692307692,0.6440281547374503,0.0026091554356432755,6.0,2.0,6.0,900.0,-192.72496900000078
56,0.5030769230769231,0.6309468104040523,0.00520058214298989,10.0,2.0,6.0,100.0,-29.64393899999959
57,0.5315384615384615,0.6397911201101397,0.006284742635113718,10.0,2.0,6.0,600.0,-195.3860850000001
58,0.5361538461538462,0.640756068692197,0.0028155267135980423,10.0,2.0,6.0,800.0,-252.46567800000048
59,0.5323076923076923,0.6394077680085971,0.0006910232388339936,10.0,2.0,6.0,900.0,-265.6943969999993
60,0.48615384615384616,0.6080495484056357,0.005913206397767378,13.0,2.0,6.0,100.0,-28.95044499999858
61,0.5215384615384615,0.6317181927135952,0.0068481605979636255,13.0,2.0,6.0,600.0,-245.07852900000034
62,0.536923076923077,0.6345967016348713,0.00040832921690833404,13.0,2.0,6.0,800.0,-318.70445800000016
63,0.5238461538461539,0.6286368946739591,0.004387320055961671,13.0,2.0,6.0,900.0,-340.24980700000015
64,0.5676923076923077,0.6411381999720981,0.007342424729146355,2.0,4.0,6.0,100.0,-6.39071100000001
65,0.5507692307692308,0.653260597241592,0.005300946968916714,2.0,4.0,6.0,600.0,-40.93878799999948
66,0.5484615384615384,0.6486417641108676,0.00590679764639664,2.0,4.0,6.0,800.0,-47.08514400000058
67,0.5546153846153846,0.6471032268431903,0.005565503874946233,2.0,4.0,6.0,900.0,-75.30210099999931
68,0.5346153846153846,0.6461429448262098,0.006483529214431391,6.0,4.0,6.0,100.0,-14.153163999999379
69,0.5453846153846154,0.6442212741020423,0.005169446087448277,6.0,4.0,6.0,600.0,-107.4064729999991
70,0.5446153846153846,0.6449922114272265,0.004136195097462603,6.0,4.0,6.0,800.0,-125.63045099999908
71,0.5407692307692308,0.6436426879984217,0.0019248979757155618,6.0,4.0,6.0,900.0,-144.126119999999
72,0.5123076923076924,0.6357593239387261,0.006994894631060771,10.0,4.0,6.0,100.0,-26.253591000000597
73,0.5361538461538462,0.6394090971909829,0.004415822486100055,10.0,4.0,6.0,600.0,-160.55679400000008
74,0.5353846153846153,0.6386418281014138,0.004771459004778671,10.0,4.0,6.0,800.0,-212.54367599999932
75,0.5407692307692308,0.6370992955923248,0.0009798059132333785,10.0,4.0,6.0,900.0,-227.71124500000042
76,0.5076923076923077,0.6090106004892083,0.006393853596582103,13.0,4.0,6.0,100.0,-30.78425199999947
77,0.5261538461538462,0.6328671480987069,0.004602255969942328,13.0,4.0,6.0,600.0,-199.87676399999873
78,0.5292307692307693,0.6322950065740348,0.0070342576230895916,13.0,4.0,6.0,800.0,-288.3391100000008
79,0.5446153846153846,0.6346009193684623,0.004182143299882516,13.0,4.0,6.0,900.0,-294.8387820000007
80,0.5346153846153846,0.6405636110334525,0.004416278225341198,2.0,6.0,6.0,100.0,-6.976082000001043
81,0.5553846153846154,0.6497985009515678,0.0034906609937960047,2.0,6.0,6.0,600.0,-41.07039299999997
82,0.55,0.6507548922407539,0.008271142964672995,2.0,6.0,6.0,800.0,-46.34305999999924
83,0.5492307692307692,0.6499842915391841,0.008234551503844898,2.0,6.0,6.0,900.0,-50.13872099999935
84,0.5323076923076923,0.6367167154809378,0.002784333678398187,6.0,6.0,6.0,100.0,-14.361901000000216
85,0.5346153846153846,0.6446026295446609,0.007625373900450483,6.0,6.0,6.0,600.0,-71.75010900000052
86,0.5376923076923077,0.6467188744886222,0.0008744789665499241,6.0,6.0,6.0,800.0,-114.20220599999993
87,0.5361538461538462,0.6432559985141882,0.0015850767298616019,6.0,6.0,6.0,900.0,-134.10017399999924
88,0.5207692307692308,0.6251741386016506,0.00891271815226536,10.0,6.0,6.0,100.0,-23.29406199999903
89,0.5253846153846153,0.6359516655424721,0.006789401459327354,10.0,6.0,6.0,600.0,-132.19209500000034
90,0.5284615384615384,0.6330600488182466,0.004243743256592907,10.0,6.0,6.0,800.0,-168.3397960000002
91,0.52,0.6347922664898732,0.0026112372670294565,10.0,6.0,6.0,900.0,-195.6096239999988
92,0.4976923076923077,0.6111161869677573,0.0063016550658593455,13.0,6.0,6.0,100.0,-27.35251900000003
93,0.5084615384615384,0.6228678776422276,0.007629972581238425,13.0,6.0,6.0,600.0,-145.63287900000068
94,0.5107692307692308,0.6305620092179985,0.005316855624182359,13.0,6.0,6.0,800.0,-189.80184200000076
95,0.5146153846153846,0.628635118583651,0.002774972450759865,13.0,6.0,6.0,900.0,-225.60653300000013
96,0.5561538461538461,0.6403690464314762,0.0028860420763269176,2.0,2.0,10.0,100.0,-7.7310489999999845
97,0.5523076923076923,0.6499939535986982,0.005907610596588917,2.0,2.0,10.0,600.0,-44.303406999999424
98,0.5476923076923077,0.6480626208150166,0.005228573654788594,2.0,2.0,10.0,800.0,-63.31079399999908
99,0.5484615384615384,0.6496022686200275,0.005179008003121393,2.0,2.0,10.0,900.0,-65.12007699999958
100,0.5376923076923077,0.6378735606823823,0.004835096223253049,6.0,2.0,10.0,100.0,-18.52166700000089
101,0.5323076923076923,0.6409506352177371,0.0036919330288910975,6.0,2.0,10.0,600.0,-95.09989899999891
102,0.5353846153846153,0.6394089869066751,0.0036247350144717042,6.0,2.0,10.0,800.0,-146.3325650000006
103,0.5423076923076923,0.6440252681098086,0.0006584029098496485,6.0,2.0,10.0,900.0,-145.80212200000096
104,0.5269230769230769,0.6292108238303205,0.0029044667646075818,10.0,2.0,10.0,100.0,-23.07535900000039
105,0.5253846153846153,0.6392191953069565,0.00541745109141694,10.0,2.0,10.0,600.0,-165.72130099999958
106,0.5330769230769231,0.6378686716251262,0.004577375819645035,10.0,2.0,10.0,800.0,-233.59933000000092
107,0.5292307692307693,0.6372970815219937,0.005387896614061854,10.0,2.0,10.0,900.0,-244.9902089999996
108,0.49923076923076926,0.6088189321326912,0.008354934208125643,13.0,2.0,10.0,100.0,-33.622393000001466
109,0.5069230769230769,0.6284444370152147,0.005156178730459271,13.0,2.0,10.0,600.0,-215.03981000000203
110,0.5107692307692308,0.6361434518775512,0.007961833106446927,13.0,2.0,10.0,800.0,-269.25679399999717
111,0.5215384615384615,0.6322850040437794,0.006069582240557061,13.0,2.0,10.0,900.0,-300.53032200000234
112,0.5484615384615384,0.6413305511936617,0.0010227360671952418,2.0,4.0,10.0,100.0,-6.983416999999463
113,0.5507692307692308,0.6480638358659676,0.011317796618647865,2.0,4.0,10.0,600.0,-38.17428300000029
114,0.5515384615384615,0.6476768212995008,0.005122057023853809,2.0,4.0,10.0,800.0,-55.640942999998515
115,0.556923076923077,0.6515257192816301,0.004576509431842608,2.0,4.0,10.0,900.0,-54.796785000002274
116,0.53,0.6330594993202704,0.002945573033661863,6.0,4.0,10.0,100.0,-12.02288100000078
117,0.5384615384615384,0.6457580352794116,0.003908195815083377,6.0,4.0,10.0,600.0,-93.13504400000238
118,0.536923076923077,0.6430625425259818,0.0023092575871694497,6.0,4.0,10.0,800.0,-134.81662300000244
119,0.5415384615384615,0.642874083955776,0.0035939051283834056,6.0,4.0,10.0,900.0,-160.96500500000184
120,0.5184615384615384,0.6295979563753492,0.004009115021120915,10.0,4.0,10.0,100.0,-25.968816000000515
121,0.5353846153846153,0.6388298436108242,0.0019047385000597024,10.0,4.0,10.0,600.0,-153.30530400000134
122,0.53,0.6403753788025534,0.005008344837159709,10.0,4.0,10.0,800.0,-197.08288799999718
123,0.5407692307692308,0.6374856523000709,0.002213506665756148,10.0,4.0,10.0,900.0,-228.799117999999
124,0.5092307692307693,0.6190263142077645,0.013328049431525305,13.0,4.0,10.0,100.0,-28.637736000000587
125,0.5207692307692308,0.6257577163525815,0.010349547529959192,13.0,4.0,10.0,600.0,-189.892273999998
126,0.5253846153846153,0.6280617485430834,0.00599087278410093,13.0,4.0,10.0,800.0,-271.6014260000011
127,0.5246153846153846,0.6355658679505196,0.005978882558562103,13.0,4.0,10.0,900.0,-273.51037299999734
128,0.5507692307692308,0.6301704345236357,0.0020659707684278707,2.0,6.0,10.0,100.0,-4.927534000002197
129,0.553076923076923,0.6528761326791525,0.0018394503065174705,2.0,6.0,10.0,600.0,-30.098597000000154
130,0.5661538461538461,0.6482579631778393,0.005113209523741956,2.0,6.0,10.0,800.0,-52.35730499999772
131,0.5523076923076923,0.6530709159261813,0.00693409764752858,2.0,6.0,10.0,900.0,-57.45601800000077
132,0.5330769230769231,0.6290173659185504,0.0005516011571084993,6.0,6.0,10.0,100.0,-15.618171000001894
133,0.5330769230769231,0.6428706401359041,0.0039535120353502125,6.0,6.0,10.0,600.0,-80.16014200000063
134,0.54,0.6449891061545325,0.0033703100043344283,6.0,6.0,10.0,800.0,-116.46270899999945
135,0.5338461538461539,0.6453740118542037,0.003889833255601327,6.0,6.0,10.0,900.0,-130.21248099999866
136,0.5215384615384615,0.6261329715341197,0.0032681333533012193,10.0,6.0,10.0,100.0,-21.234176000001753
