,f1_micro_mean_test,f1_micro_mean_train,f1_micro_std_train,max_feature,min_samples_leaf,min_samples_split,n_estimators,time
0,0.5615384615384615,0.64267772611724,0.006058302975285463,2.0,2.0,2.0,100.0,-6.125963000000013
1,0.5584615384615385,0.6419050139879737,0.01263769268513299,2.0,2.0,2.0,500.0,-30.021299
2,0.563076923076923,0.6420962482619531,0.013558591775297217,2.0,2.0,2.0,900.0,-50.42521799999997
3,0.5661538461538461,0.6395937681801996,0.012399810076578668,8.0,2.0,2.0,100.0,-13.75704300000001
4,0.55,0.6353589621946116,0.015539008556569442,8.0,2.0,2.0,500.0,-70.18367899999998
5,0.5561538461538461,0.6397872233976488,0.011481168121371552,8.0,2.0,2.0,900.0,-121.68656900000002
6,0.5546153846153846,0.6349759373528269,0.016599029696271417,13.0,2.0,2.0,100.0,-20.48283600000002
7,0.5476923076923077,0.6355547503067775,0.0101564792201506,13.0,2.0,2.0,500.0,-102.54346599999997
8,0.5484615384615384,0.6347804847096902,0.01585680543855016,13.0,2.0,2.0,900.0,-186.159808
9,0.55,0.6199681605728848,0.011861990402990172,2.0,4.0,2.0,100.0,-4.42527199999995
10,0.5492307692307692,0.6224701966967716,0.012959968813511757,2.0,4.0,2.0,500.0,-21.951828999999975
11,0.556923076923077,0.6203547374623147,0.011890375063071739,2.0,4.0,2.0,900.0,-39.65167100000008
12,0.546923076923077,0.6218939409247441,0.008783304942515923,8.0,4.0,2.0,100.0,-11.33188199999995
13,0.5446153846153846,0.6240057361603086,0.012975041202439476,8.0,4.0,2.0,500.0,-56.759332000000086
14,0.5515384615384615,0.6266995616978642,0.014249651704061915,8.0,4.0,2.0,900.0,-102.64038600000003
15,0.5407692307692308,0.6190063258548469,0.011145001881550437,13.0,4.0,2.0,100.0,-26.5009
16,0.5438461538461539,0.6226613217124891,0.009754527549602949,13.0,4.0,2.0,500.0,-124.720552
17,0.54,0.6253499282444827,0.016999162979397842,13.0,4.0,2.0,900.0,-236.9737050000001
18,0.5407692307692308,0.5968787933054681,0.009271267673795346,2.0,8.0,2.0,100.0,-5.223460000000159
19,0.5430769230769231,0.5986138941383252,0.006574963994015183,2.0,8.0,2.0,500.0,-25.837728999999854
20,0.5476923076923077,0.5968809026824028,0.009299085106300129,2.0,8.0,2.0,900.0,-46.56327299999998
21,0.5446153846153846,0.6003356700797885,0.015420311874963956,8.0,8.0,2.0,100.0,-13.279228999999987
22,0.5423076923076923,0.6005291256819499,0.013718864286541444,8.0,8.0,2.0,500.0,-57.95658700000013
23,0.5438461538461539,0.6005306803039074,0.011618955098073515,8.0,8.0,2.0,900.0,-100.30038800000011
24,0.5353846153846153,0.5997621896214959,0.009985591430692619,13.0,8.0,2.0,100.0,-13.218474000000242
25,0.5384615384615384,0.5989889238913889,0.01489504773468624,13.0,8.0,2.0,500.0,-72.4087300000001
26,0.5353846153846153,0.5999532019165419,0.011834866032129847,13.0,8.0,2.0,900.0,-122.29885999999988
27,0.5615384615384615,0.6471019878523556,0.010230946859244755,2.0,2.0,4.0,100.0,-5.247679999999946
28,0.5646153846153846,0.6384396989364898,0.013553737154696766,2.0,2.0,4.0,500.0,-26.210329
29,0.5646153846153846,0.6426748373134095,0.012390353347613747,2.0,2.0,4.0,900.0,-47.62663300000031
30,0.553076923076923,0.6351663960470324,0.014083092135170465,8.0,2.0,4.0,100.0,-13.606952000000092
31,0.5584615384615385,0.6374756432749822,0.014950139253870759,8.0,2.0,4.0,500.0,-68.52119299999958
32,0.5523076923076923,0.6399767926372723,0.013085689375584542,8.0,2.0,4.0,900.0,-147.17098600000008
33,0.5538461538461539,0.6342105574531792,0.009581619397172496,13.0,2.0,4.0,100.0,-32.07739300000003
34,0.5523076923076923,0.6363214647730104,0.012114302472387688,13.0,2.0,4.0,500.0,-103.68658700000015
35,0.5438461538461539,0.6380515681945267,0.01430375854218901,13.0,2.0,4.0,900.0,-182.5853619999998
36,0.5492307692307692,0.6193933470868557,0.0104639412809865,2.0,4.0,4.0,100.0,-6.503437000000304
37,0.5476923076923077,0.6205460833028291,0.01120360890450338,2.0,4.0,4.0,500.0,-30.8265879999999
38,0.55,0.620546304512338,0.013583172951913955,2.0,4.0,4.0,900.0,-54.25754000000006
39,0.546923076923077,0.626700450767734,0.011912241589899883,8.0,4.0,4.0,100.0,-16.431438999999955
40,0.546923076923077,0.6257370618124507,0.01269931040462671,8.0,4.0,4.0,500.0,-81.41676899999993
41,0.5446153846153846,0.6261201959124972,0.015941505542590922,8.0,4.0,4.0,900.0,-146.4612619999998
42,0.5438461538461539,0.61862152595102,0.009381132700003956,13.0,4.0,4.0,100.0,-24.942457999999988
43,0.5415384615384615,0.6243914251340054,0.011913649878680295,13.0,4.0,4.0,500.0,-124.29490799999985
44,0.54,0.624390425267025,0.013905984124738454,13.0,4.0,4.0,900.0,-222.31703800000014
45,0.546923076923077,0.5920696181764297,0.010014088937971975,2.0,8.0,4.0,100.0,-4.95933100000002
46,0.5446153846153846,0.5991908162318647,0.010433497511510473,2.0,8.0,4.0,500.0,-24.311759000000166
47,0.55,0.5968816805704499,0.007214145889833527,2.0,8.0,4.0,900.0,-43.91897299999982
48,0.5415384615384615,0.5972602635252953,0.011122524707316313,8.0,8.0,4.0,100.0,-8.769626999999673
49,0.5430769230769231,0.6009144811101783,0.013354638203367497,8.0,8.0,4.0,500.0,-43.83334900000045
50,0.5415384615384615,0.5980272003551736,0.014205293242902449,8.0,8.0,4.0,900.0,-79.03470099999959
51,0.5376923076923077,0.6001457699876821,0.011418704125618281,13.0,8.0,4.0,100.0,-13.033071999999265
52,0.5307692307692308,0.5978366320179942,0.011847875553219641,13.0,8.0,4.0,500.0,-65.2009739999994
53,0.5392307692307692,0.60226211675316,0.011836162127154349,13.0,8.0,4.0,900.0,-117.63003600000047
54,0.5461538461538461,0.6267041136124898,0.012619118185065736,2.0,2.0,8.0,100.0,-4.7240780000001905
55,0.5492307692307692,0.6315135114898859,0.009975340544654597,2.0,2.0,8.0,500.0,-23.478611999999885
56,0.5584615384615385,0.6303582211696866,0.01116013802019846,2.0,2.0,8.0,900.0,-42.27164499999981
57,0.5546153846153846,0.6280483064660881,0.013717445643534545,8.0,2.0,8.0,100.0,-12.245267999999669
58,0.5476923076923077,0.6338185391945417,0.014824190468211823,8.0,2.0,8.0,500.0,-61.33435999999983
59,0.5515384615384615,0.6343974614067542,0.012722497901283717,8.0,2.0,8.0,900.0,-110.23231399999986
60,0.5446153846153846,0.6247792230999246,0.01080707001382153,13.0,2.0,8.0,100.0,-18.476510999999846
61,0.5453846153846154,0.6303574436663517,0.01235680807541822,13.0,2.0,8.0,500.0,-92.03678600000057
62,0.5453846153846154,0.6309305913486005,0.0169943590235843,13.0,2.0,8.0,900.0,-165.30019699999957
63,0.5438461538461539,0.6161169337993466,0.015819033984919687,2.0,4.0,8.0,100.0,-4.341259999999238
64,0.5507692307692308,0.6238161657665486,0.01408274178169143,2.0,4.0,8.0,500.0,-21.643721999999798
65,0.5492307692307692,0.6215102509155839,0.0076526181242569,2.0,4.0,8.0,900.0,-38.89323299999978
66,0.5446153846153846,0.6253524846569816,0.011529295230073679,8.0,4.0,8.0,100.0,-11.245622999999796
67,0.5484615384615384,0.6240045139296827,0.015690890076307643,8.0,4.0,8.0,500.0,-56.32888300000013
68,0.5492307692307692,0.6243897589455129,0.014775627491689283,8.0,4.0,8.0,900.0,-101.09613999999965
69,0.546923076923077,0.620541976884919,0.011815054662638547,13.0,4.0,8.0,100.0,-16.8475899999994
70,0.55,0.6261238602961018,0.011780083144249161,13.0,4.0,8.0,500.0,-84.12189100000069
71,0.5384615384615384,0.6249679044238148,0.012544996325469428,13.0,4.0,8.0,900.0,-151.80598399999963
72,0.5384615384615384,0.5951486898839519,0.0076843976616164855,2.0,8.0,8.0,100.0,-3.5624139999999898
